city;city_ascii;state_id;state_name;county_fips;county_name;lat;lng;population;density;source;military;incorporated;timezone;ranking;id
New York;New York;NY;New York;36081;Queens;40,6943;-73,9249;18680025;10768;shape;FALSE;TRUE;America/New_York;1;1840034016
Los Angeles;Los Angeles;CA;California;06037;Los Angeles;34,1141;-118,4068;12531334;3267;shape;FALSE;TRUE;America/Los_Angeles;1;1840020491
Chicago;Chicago;IL;Illinois;17031;Cook;41,8375;-87,6866;8586888;4576;shape;FALSE;TRUE;America/Chicago;1;1840000494
Miami;Miami;FL;Florida;12086;Miami-Dade;25,784;-80,2101;6076316;4945;shape;FALSE;TRUE;America/New_York;1;1840015149
Dallas;Dallas;TX;Texas;48113;Dallas;32,7935;-96,7667;5910669;1522;shape;FALSE;TRUE;America/Chicago;1;1840019440
Houston;Houston;TX;Texas;48201;Harris;29,786;-95,3885;5724418;1394;shape;FALSE;TRUE;America/Chicago;1;1840020925
Philadelphia;Philadelphia;PA;Pennsylvania;42101;Philadelphia;40,0077;-75,1339;5540199;4544;shape;FALSE;TRUE;America/New_York;1;1840000673
Atlanta;Atlanta;GA;Georgia;13121;Fulton;33,7628;-84,422;5151496;1419;shape;FALSE;TRUE;America/New_York;1;1840013660
Washington;Washington;DC;District of Columbia;11001;District of Columbia;38,9047;-77,0163;5066973;4434;shape;FALSE;TRUE;America/New_York;1;1840006060
Boston;Boston;MA;Massachusetts;25025;Suffolk;42,3188;-71,0852;4465966;5505;shape;FALSE;TRUE;America/New_York;1;1840000455
Phoenix;Phoenix;AZ;Arizona;04013;Maricopa;33,5722;-112,0892;4187723;1236;shape;FALSE;TRUE;America/Phoenix;1;1840020568
Detroit;Detroit;MI;Michigan;26163;Wayne;42,3834;-83,1024;3731486;1871;shape;FALSE;TRUE;America/Detroit;1;1840003971
San Francisco;San Francisco;CA;California;06075;San Francisco;37,7558;-122,4449;3557982;7199;shape;FALSE;TRUE;America/Los_Angeles;1;1840021543
Seattle;Seattle;WA;Washington;53033;King;47,6211;-122,3244;3530752;3414;shape;FALSE;TRUE;America/Los_Angeles;1;1840021117
San Diego;San Diego;CA;California;06073;San Diego;32,8313;-117,1222;3178495;1675;shape;FALSE;TRUE;America/Los_Angeles;1;1840021990
Minneapolis;Minneapolis;MN;Minnesota;27053;Hennepin;44,9635;-93,2678;2885614;3035;shape;FALSE;TRUE;America/Chicago;1;1840007830
Tampa;Tampa;FL;Florida;12057;Hillsborough;27,9945;-82,4447;2771700;1340;shape;FALSE;TRUE;America/New_York;1;1840015982
Brooklyn;Brooklyn;NY;New York;36047;Kings;40,6501;-73,9496;2736074;15200;point;FALSE;TRUE;America/New_York;1;1840034030
Denver;Denver;CO;Colorado;08031;Denver;39,762;-104,8758;2709398;1805;shape;FALSE;TRUE;America/Denver;1;1840018789
Queens;Queens;NY;New York;36081;Queens;40,7498;-73,7976;2405464;8503;point;FALSE;TRUE;America/New_York;1;1840034002
Baltimore;Baltimore;MD;Maryland;24510;Baltimore;39,3051;-76,6144;2270087;2872;shape;FALSE;TRUE;America/New_York;1;1840001592
Las Vegas;Las Vegas;NV;Nevada;32003;Clark;36,2333;-115,2654;2165405;1754;shape;FALSE;TRUE;America/Los_Angeles;1;1840020364
St. Louis;St. Louis;MO;Missouri;29510;St. Louis;38,6359;-90,2451;2144317;1905;shape;FALSE;TRUE;America/Chicago;1;1840001651
Riverside;Riverside;CA;California;06065;Riverside;33,9381;-117,3949;2112239;1556;shape;FALSE;TRUE;America/Los_Angeles;1;1840020551
Portland;Portland;OR;Oregon;41051;Multnomah;45,5371;-122,65;2072553;1881;shape;FALSE;TRUE;America/Los_Angeles;1;1840019941
San Antonio;San Antonio;TX;Texas;48029;Bexar;29,4632;-98,5238;2036324;1183;shape;FALSE;TRUE;America/Chicago;1;1840022220
Sacramento;Sacramento;CA;California;06067;Sacramento;38,5677;-121,4685;1882358;1971;shape;FALSE;TRUE;America/Los_Angeles;1;1840021491
San Juan;San Juan;PR;Puerto Rico;72127;San Juan;18,3985;-66,061;1854549;2982;shape;FALSE;FALSE;America/Puerto_Rico;1;1630035577
San Jose;San Jose;CA;California;06085;Santa Clara;37,3012;-121,848;1797166;2229;shape;FALSE;TRUE;America/Los_Angeles;1;1840021570
Orlando;Orlando;FL;Florida;12095;Orange;28,4773;-81,337;1792047;994;shape;FALSE;TRUE;America/New_York;1;1840015099
Cleveland;Cleveland;OH;Ohio;39035;Cuyahoga;41,4764;-81,6805;1742437;1903;shape;FALSE;TRUE;America/New_York;1;1840000596
Pittsburgh;Pittsburgh;PA;Pennsylvania;42003;Allegheny;40,4397;-79,9763;1719289;2100;shape;FALSE;TRUE;America/New_York;1;1840001254
Manhattan;Manhattan;NY;New York;36061;New York;40,7834;-73,9662;1694263;28653;point;FALSE;TRUE;America/New_York;1;1840034000
Austin;Austin;TX;Texas;48453;Travis;30,3005;-97,7522;1685522;1165;shape;FALSE;TRUE;America/Chicago;1;1840019590
Cincinnati;Cincinnati;OH;Ohio;39061;Hamilton;39,1413;-84,506;1684800;1501;shape;FALSE;TRUE;America/New_York;1;1840003814
Indianapolis;Indianapolis;IN;Indiana;18097;Marion;39,7771;-86,1458;1636763;928;shape;FALSE;TRUE;America/Indiana/Indianapolis;1;1840030084
Kansas City;Kansas City;MO;Missouri;29095;Jackson;39,1238;-94,5541;1602005;602;shape;FALSE;TRUE;America/Chicago;1;1840008535
Columbus;Columbus;OH;Ohio;39049;Franklin;39,9862;-82,9855;1547862;1560;shape;FALSE;TRUE;America/New_York;1;1840003760
Charlotte;Charlotte;NC;North Carolina;37119;Mecklenburg;35,2083;-80,8303;1526465;1094;shape;FALSE;TRUE;America/New_York;1;1840014557
