UFI;UNI;LAT;LONG;DMS_LAT;DMS_LONG;DSG;ADM1;ADM2;NT;SORT_NAME;FULL_NAME
9045436;9045436;-347.641.667;-562.138.889;-344551;-561250;PPL;10;;N;ABAYUBA;Abayuba
-905371;-1337516; -31.75;-550.166.667;-314500;-550100;PPL;13;;N;ABROJAL;Abrojal
-905376;-1337526;-318.666.667; -54.2;-315200;-541200;PPL;3;;N;ACEGUA;Aceguá
-905380;-1337534;-324.166.667;-561.666.667;-322500;-561000;PPL;18;;N;ACHAR;Achar
-905383;-1337540;-335.333.333;-544.333.333;-333200;-542600;PPL;8;;N;ACHIRAS;Achiras
-905387;-1337545;-332.333.333; -53.85;-331400;-535100;PPL;19;;N;ACOSTA;Acosta
-905389;-1337547; -33.8; -58.25;-334800;-581500;PPL;17;;N;AGRACIADA;Agraciada
-905392;-1337553; -34.9;-561.833.333;-345400;-561100;PPLX ;10;;N;AGUADA;Aguada
-905399;-1337567; -32.8; -55.8;-324800;-554800;PPL;5;;N;AGUASBUENAS;Aguas Buenas
-905400;-1337570;-345.219.444;-563.936.111;-343119;-562337;PPL;2;;N;AGUASCORRIENTES;Aguas Corrientes
-905405;-1337577;-326.666.667;-536.166.667;-324000;-533700;PPL;3;;N;AGUILA;Águila
-905406;-1337578; -33.6;-579.833.333;-333600;-575900;PPL;17;;N;AGUILA;Águila
-905414;-1337591;-323.666.667;-547.666.667;-322200;-544600;PPL;3;;N;AGUIRRE;Aguirre
-905417;-1337597; -33.75;-564.666.667;-334500;-562800;PPL;6;;N;AHOGADOS;Ahogados
-905419;-1337600; -34.2; -54.75;-341200;-544500;PPL;9;;N;AIGUA;Aiguá
-905432;-1337622;-313.333.333; -57.8;-312000;-574800;PPL;15;;N;ALBISU;Albisu
-905436;-1337630; -33.55; -56.9;-333300;-565400;PPL;6;;N;ALDECOA;Aldecoa
-909745;-1337635;-337.666.667; -58.35;-334600;-582100;PPL;17;;V;ALEJANDRINA;Alejandrina
-905439;-1337636;-338.166.667; -55.55;-334900;-553300;PPL;7;;N;ALEJANDROGALLINAL;Alejandro Gallinal
-905448;-1337651;-324.166.667;-573.833.333;-322500;-572300;PPL;12;;N;ALGORTA;Algorta
-905450;-1337654; -30.3;-569.666.667;-301800;-565800;PPL;1;;N;ALLENDE;Allende
